State,Location,AIAN,Asian,Black,Hispanic,White,Multi,Total
AZ,city-large,0.603483747,0.205733096,4.087230833,93.00507475,1.783020162,0.315457413,7291
AZ,suburban-large,1.475445937,1.71768333,3.567496146,31.90927109,58.02686633,3.303237172,4541
AZ,rural-distant,17.12846348,0.503778338,0,11.83879093,63.47607053,7.052896725,397
AZ,town-remote,97.63733018,0.177200236,0,0.472533963,0.6497342,1.063201418,1693
AZ,rural-distant,1.315789474,0,0,35.52631579,63.15789474,0,76
AZ,city-large,3.640894724,6.157306103,10.37563822,27.98443958,45.36834427,6.473377097,16452
AZ,city-small,1.317233809,1.829491401,1.244054153,23.78338822,71.18551043,0.64032199,5466
AZ,city-large,2.529609592,3.436174879,22.13773944,57.83009212,10.61558707,3.4507969,6839
AZ,rural-fringe,0.940899735,1.558365187,3.440164657,48.75036754,42.60511614,2.705086739,3401
AZ,suburban-midsize,0.764431948,4.16483613,7.363149108,39.04753537,44.31947983,4.340567613,11381
AZ,rural-distant,1.902173913,0.27173913,0,59.7826087,37.22826087,0.815217391,368
AZ,suburban-midsize,1.400460911,2.003190924,10.26413756,73.97624535,9.679134905,2.676830349,5641
AZ,city-large,4.089282672,1.942409269,6.099846652,38.14959959,45.71477253,4.004089283,5869
AZ,rural-distant,0.840336134,1.680672269,0,4.201680672,91.59663866,1.680672269,119
AZ,rural-fringe,1.073825503,0.536912752,0.67114094,71.27516779,25.23489933,1.208053691,745
AZ,suburban-large,1.399817775,1.747701483,2.170131699,36.83425826,54.34440487,3.503685911,12073
AZ,town-distant,5.579010856,2.276839566,11.61037394,42.67189385,33.24788902,4.613992762,6632
AZ,rural-distant,9.983633388,0.163666121,0.654664484,54.17348609,31.91489362,3.109656301,611
AZ,rural-distant,2.808988764,0.936329588,0.561797753,16.29213483,76.21722846,3.183520599,534
AZ,rural-distant,99.23076923,0,0.769230769,0,0,0,130
AZ,rural-remote,3.278688525,0,0,24.59016393,70.49180328,1.639344262,61
AZ,city-large,4.181769259,2.065559759,4.319473243,43.29761471,44.05261242,2.082970607,63179
AZ,rural-fringe,3.480475382,0.509337861,0.848896435,50.08488964,43.12393888,1.9524618,1178
AZ,town-distant,3.610411419,0.587741394,0.755667506,36.35600336,57.09487825,1.595298069,1191
AZ,rural-distant,0,0,17.85714286,10.71428571,71.42857143,0,28
